sample-id	input	filtered	denoised	merged	non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric
H1	30945	19191	19191	17043	13953
H2	33930	21749	21749	19321	15599
H3	32222	20528	20528	18091	14659
H4	40863	26898	26898	24867	21529
H5	40025	26902	26902	24339	20395
H6	42334	26949	26949	25033	22098
H7	35506	20116	20116	17055	14968
H8	36402	22559	22559	20407	17825
N1	47162	30386	30386	28336	26629
N2	37306	24675	24675	22483	19695
N3	55164	36071	36071	31580	29626
N4	34753	22235	22235	20150	17963
N5	35560	22200	22200	20819	20098
N6	36578	23558	23558	21915	20619
N7	40977	26418	26418	24380	22972
N8	36482	24422	24422	21314	17631
O1	42002	27592	27592	24677	22075
O2	38579	25520	25520	22879	21295
O3	32523	20427	20427	19224	18458
O4	39188	24781	24781	22133	20097
O5	35949	22668	22668	19849	16519
O6	38516	24460	24460	20698	17570
O7	37792	24865	24865	21543	17261
O8	46214	31361	31361	28802	26514
